,count_down,movie_title,release_year,tomato_score,lead_role,actor_two,actor_three,actor_four,director,critics_consensus,synopsis,Opening,Studio,Medium
0,140,Empire Records,1995,31,Anthony LaPaglia,Rory Cochrane,Johnny Whitworth,Liv Tyler,Allan Moyle,"Despite a terrific soundtrack and a strong early performance from Renee Zellweger, Empire Records is mostly a silly and predictable teen dramedy.","Joe (Anthony LaPaglia) runs Empire Records, an independent Delaware store that employs a tight-knit group of music-savvy youths. Hearing that... [More]",SEPTEMBER,Warner Bros. Pictures / Regency Enterprises,Live action
1,139,Half Baked,1998,29,Dave Chappelle,Guillermo Diaz,Jim Breuer,Harland Williams,Tamra Davis,You'd have to be high to dig Half Baked's half baked production and scattershot sense of humor -- although maybe that was the point of this Dave Chapelle-led joint.,When a member of their crew gets arrested for killing a New York City police horse by feeding it junk... [More],JANUARY,Universal Pictures,Live action
2,138,Showgirls,1995,23,Elizabeth Berkley,Kyle MacLachlan,Gina Gershon,Glenn Plummer,Paul Verhoeven,"Vile, contemptible, garish, and misogynistic -- and that might just be exactly Showgirls' point.",Nomi (Elizabeth Berkley) arrives in Las Vegas with only a suitcase and a dream of becoming a top showgirl. She... [More],SEPTEMBER,United Artists / Carolco Pictures,Live action
3,137,Basic Instinct,1992,57,Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn,Paul Verhoeven,"Unevenly echoing the work of Alfred Hitchcock, Basic Instinct contains a star-making performance from Sharon Stone but is ultimately undone by its problematic, overly lurid plot.","The mysterious Catherine Tramell (Sharon Stone), a beautiful crime novelist, becomes a suspect when she is linked to the brutal... [More]",MARCH,TriStar Pictures / Carolco Pictures,Live action
4,136,Poetic Justice,1993,34,Janet Jackson,Tupac Shakur,Regina King,Joe Torry,John Singleton,"Poetic Justice is commendably ambitious and boasts a pair of appealing stars, but they're undermined by writer-director John Singleton's frustrating lack of discipline.","Still grieving after the murder of her boyfriend, hairdresser Justice (Janet Jackson) writes poetry to deal with the pain of... [More]",JULY,Columbia Pictures,Live action
5,135,Gummo,1997,38,Jacob Reynolds,Nick Sutton,Jacob Sewell,Darby Dougherty,Harmony Korine,"Gummo's bold provocations may impress more iconoclastically inclined viewers, but others will find it hard to see past writer-director Harmony Korine's overwhelmingly sour storytelling perspective.","Teen friends Tummler (Nick Sutton) and Solomon (Jacob Reynolds) navigate the ruins of a tiny, tornado-ravaged town in Ohio that... [More]",,,
6,134,Kids,1995,47,Leo Fitzpatrick,Justin Pierce,Chloë Sevigny,Sarah Henderson,Larry Clark,"Kids isn't afraid to test viewers' limits, but the point of its nearly non-stop provocation is likely to be lost in all the repellent characters and unpleasant imagery.",Amoral teen Telly (Leo Fitzpatrick) has made it his goal to sleep with as many virgin girls as possible --... [More],JULY,Vidmark Entertainment,Live action
7,133,Dead Man,1995,70,Johnny Depp,Gary Farmer,Lance Henriksen,Michael Wincott,Jim Jarmusch,"While decidedly not for all tastes, Dead Man marks an alluring change of pace for writer-director Jim Jarmusch that demonstrates an assured command of challenging material.",Circumstances transform a mild-mannered accountant (Johnny Depp) into a notorious Old West gunslinger.... [More],MAY,Miramax Films,Live action
8,132,The Rock,1996,68,Sean Connery,Nicolas Cage,Ed Harris,Michael Biehn,Michael Bay,"For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain.","FBI chemical warfare expert Stanley Goodspeed (Nicolas Cage) is sent on an urgent mission with a former British spy, John... [More]",JUNE,Hollywood Pictures / Don Simpson/Jerry Bruckheimer Films,Live action
9,131,The Blair Witch Project,1999,86,Heather Donahue,Michael C. Williams,Joshua Leonard,Bob Griffith,Daniel Myrick,"Full of creepy campfire scares, mock-doc The Blair Witch Project keeps audiences in the dark about its titular villain, proving once more that imagination can be as scary as anything onscreen.","Found video footage tells the tale of three film students (Heather Donahue, Joshua Leonard, Michael C. Williams) who've traveled to... [More]",JULY,Artisan Entertainment,Live action
