,index,movie_title,release_year,movie_rating,director,star_one,star_two,star_three,star_four,movie_length,genre,imdb_metascore,imdb_stars,imdb_votes,imdb_gross,Opening,Studio,Medium
0,7,Home Alone,1990,PG,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,103,"Comedy, Family            ",63,7.7,"570,049",285.76,NOVEMBER,20th Century Fox / Hughes Entertainment,Live action
1,14,Ghost,1990,PG-13,Jerry Zucker,Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn,127,"Drama, Fantasy, Romance            ",52,7.1,"218,885",217.63,JULY,Paramount Pictures,Live action
2,21,Dances with Wolves,1990,PG-13,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,181,"Adventure, Drama, Western            ",72,8.0,"266,555",184.21,NOVEMBER,Orion Pictures / Tig Productions,Live action
3,26,Pretty Woman,1990,R,Garry Marshall,Richard Gere,Julia Roberts,Jason Alexander,Laura San Giacomo,119,"Comedy, Romance            ",51,7.1,"326,944",178.41,MARCH,Touchstone Pictures,Live action
4,59,Teenage Mutant Ninja Turtles,1990,PG,Steve Barron,Judith Hoag,Elias Koteas,Josh Pais,David Forman,93,"Action, Adventure, Comedy            ",51,6.7,"95,328",135.27,MARCH,New Line Cinema,Live action
5,76,The Hunt for Red October,1990,PG,John McTiernan,Sean Connery,Alec Baldwin,Scott Glenn,Sam Neill,135,"Action, Adventure, Thriller            ",58,7.5,"201,808",122.01,MARCH,Paramount Pictures,Live action
6,83,Total Recall,1990,R,Paul Verhoeven,Arnold Schwarzenegger,Sharon Stone,Michael Ironside,Rachel Ticotin,113,"Action, Adventure, Sci-Fi            ",57,7.5,"332,570",119.39,JUNE,TriStar Pictures / Carolco Pictures,Live action
7,85,Die Hard 2,1990,R,Renny Harlin,Bruce Willis,William Atherton,Bonnie Bedelia,Reginald VelJohnson,124,"Action, Thriller            ",67,7.1,"363,020",117.54,JULY,20th Century Fox,Live action
8,105,Dick Tracy,1990,PG,Warren Beatty,Warren Beatty,Madonna,Al Pacino,Charlie Korsmo,105,"Action, Comedy, Crime            ",68,6.2,"62,607",103.74,JUNE,Touchstone Pictures,Live action
9,135,Kindergarten Cop,1990,PG-13,Ivan Reitman,Arnold Schwarzenegger,Penelope Ann Miller,Pamela Reed,Linda Hunt,111,"Action, Comedy, Crime            ",61,6.2,"151,216",91.46,DECEMBER,Universal Pictures / Imagine Entertainment,Live action
