,Opening,Title,Studio,Medium
0,JANUARY,Henry: Portrait of a Serial Killer,Greycat Films,Live action
1,JANUARY,Drug Wars: The Camarena Story,NBC Productions / World International Network / ZZY Productions,Live action
2,JANUARY,Downtown,20th Century Fox,Live action
3,JANUARY,Internal Affairs,Paramount Pictures,Live action
4,JANUARY,Leatherface: The Texas Chainsaw Massacre III,New Line Cinema,Live action
5,JANUARY,Ski Patrol,Epic Productions,Live action
6,JANUARY,Brain Dead,Concorde,Live action
7,JANUARY,Everybody Wins,Orion Pictures,Live action
8,JANUARY,Tremors,Universal Pictures,Live action
9,FEBRUARY,Flashback,Paramount Pictures,Live action
10,FEBRUARY,Heart Condition,New Line Cinema,Live action
11,FEBRUARY,A Man Called Sarge,The Cannon Group,Live action
12,FEBRUARY,Men Don't Leave,Warner Bros. Pictures,Live action
13,FEBRUARY,Stella,Touchstone Pictures / The Samuel Goldwyn Company,Live action
14,FEBRUARY,Hard to Kill,Warner Bros. Pictures,Live action
15,FEBRUARY,Loose Cannons,TriStar Pictures,Live action
16,FEBRUARY,Stanley & Iris,Metro-Goldwyn-Mayer,Live action
17,FEBRUARY,Blind Faith,NBC Productions,Live action
18,FEBRUARY,Courage Mountain,Triumph Films,Live action
19,FEBRUARY,Madhouse,Orion Pictures,Live action
20,FEBRUARY,Cinema Paradiso,Miramax Films,Live action
21,FEBRUARY,Mountains of the Moon,TriStar Pictures / Carolco Pictures,Live action
22,FEBRUARY,Nightbreed,20th Century Fox / Morgan Creek Productions,Live action
23,FEBRUARY,Revenge,Columbia Pictures / Rastar,Live action
24,FEBRUARY,Where the Heart Is,Touchstone Pictures,Live action
25,MARCH,The Hunt for Red October,Paramount Pictures,Live action
26,MARCH,Bad Influence,Triumph Films,Live action
27,MARCH,Coupe de Ville,Universal Pictures / Morgan Creek Productions,Live action
28,MARCH,The Handmaid's Tale,Metro-Goldwyn-Mayer,Live action
29,MARCH,House Party,New Line Cinema,Live action
30,MARCH,Joe Versus the Volcano,Warner Bros. Pictures / Amblin Entertainment,Live action
31,MARCH,Last of the Finest,Orion Pictures,Live action
32,MARCH,Love at Large,Orion Pictures,Live action
33,MARCH,Blind Fury,TriStar Pictures / Interscope Communications,Live action
34,MARCH,Blue Steel,Metro-Goldwyn-Mayer,Live action
35,MARCH,The Forbidden Dance,Columbia Pictures,Live action
36,MARCH,Lambada,Cannon Films,Live action
37,MARCH,Lord of the Flies,Columbia Pictures / Castle Rock Entertainment / Nelson Entertainment,Live action
38,MARCH,Nuns on the Run,20th Century Fox,Live action
39,MARCH,Pretty Woman,Touchstone Pictures,Live action
40,MARCH,A Shock to the System,Corsair Pictures,Live action
41,MARCH,Opportunity Knocks,Universal Pictures / Imagine Entertainment,Live action
42,MARCH,Side Out,TriStar Pictures,Live action
43,MARCH,Teenage Mutant Ninja Turtles,New Line Cinema,Live action
44,MARCH,,,
45,APRIL,Catchfire,Vestron Pictures,Live action
46,APRIL,"The Cook, the Thief, His Wife & Her Lover",Palace Pictures / Miramax,Live action
47,APRIL,Cry-Baby,Universal Pictures / Imagine Entertainment,Live action
48,APRIL,Ernest Goes to Jail,Touchstone Pictures,Live action
49,APRIL,The First Power,Orion Pictures / Nelson Entertainment,Live action
50,APRIL,I Love You to Death,TriStar Pictures,Live action
51,APRIL,Impulse,Warner Bros. Pictures,Live action
52,APRIL,In the Spirit,Academy Entertainment,Live action
53,APRIL,Crazy People,Paramount Pictures,Live action
54,APRIL,The Gods Must Be Crazy II,Columbia Pictures,Live action
55,APRIL,Vital Signs,20th Century Fox,Live action
56,APRIL,Chattahoochee,Hemdale Film Corporation,Live action
57,APRIL,Lisa,Metro-Goldwyn-Mayer / United Artists,Live action
58,APRIL,Miami Blues,Orion Pictures,Live action
59,APRIL,The Guardian,Universal Pictures,Live action
60,APRIL,Q&A,TriStar Pictures,Live action
61,APRIL,Spaced Invaders,Touchstone Pictures,Live action
62,APRIL,Wild Orchid,Triumph Releasing,Live action
63,MAY,Last Exit to Brooklyn,Cinecom Pictures / Allied Filmmakers / Bavaria Film,Live action
64,MAY,Short Time,20th Century Fox / Gladden Entertainment,Live action
65,MAY,Tales from the Darkside: The Movie,Paramount Pictures,Live action
66,MAY,Without You I'm Nothing,New Line Cinema,Live action
67,MAY,Buried Alive,USA Network / Niki Marvin Productions / Universal Television,Live action
68,MAY,The Big Bang,Triton Pictures,Live action
69,MAY,Class of 1999,Lightning Pictures,Live action
70,MAY,Far Out Man,New Line Cinema,Live action
71,MAY,Longtime Companion,The Samuel Goldwyn Company,Live action
72,MAY,A Show of Force,Paramount Pictures,Live action
73,MAY,Bird on a Wire,Universal Pictures / The Badham/Cohen Group,Live action
74,MAY,Cadillac Man,Orion Pictures,Live action
